customer_id,first_name,last_name,gender,date_of_birth,registration_date,location_id,preferred_channel,preferred_category,email,phone,quarantine_reason
40057,Customer40057,User40057,Male,1977-01-13,2024-01-23,20,Third-party Delivery,Pizza,customer40057@example.com,3002517580,Duplicate customer_id; first occurrence retained.
31739,Customer31739,User31739,Male,1983-11-04,2024-04-09,5,Third-party Delivery,Biryani,customer31739@example.com,3009874117,Duplicate customer_id; first occurrence retained.
33930,Customer33930,User33930,Male,1979-06-22,2024-01-03,5,Takeaway,Burgers,customer33930@example.com,3003264561,Duplicate customer_id; first occurrence retained.
41400,Customer41400,User41400,Other,1990-02-13,2024-12-17,10,Third-party Delivery,Beverages,customer41400@example.com,3001868741,Duplicate customer_id; first occurrence retained.
24627,Customer24627,User24627,Other,1992-06-01,2024-11-14,18,Third-party Delivery,BBQ,customer24627@example.com,3006668344,Duplicate customer_id; first occurrence retained.
31897,Customer31897,User31897,Male,1994-04-06,2024-08-04,11,Third-party Delivery,Desserts,customer31897@example.com,3008070013,Duplicate customer_id; first occurrence retained.
42829,Customer42829,User42829,Male,2003-05-03,2024-01-13,5,Takeaway,BBQ,customer42829@example.com,3001542752,Duplicate customer_id; first occurrence retained.
44510,Customer44510,User44510,Female,1986-09-28,2024-09-01,5,Third-party Delivery,Beverages,customer44510@example.com,3004522739,Duplicate customer_id; first occurrence retained.
39051,Customer39051,User39051,Male,1986-01-22,2024-05-25,11,Dine-in,Burgers,customer39051@example.com,3002545282,Duplicate customer_id; first occurrence retained.
12199,Customer12199,User12199,Other,1982-09-10,2024-11-09,1,Website/App,Desserts,customer12199@example.com,3008579580,Duplicate customer_id; first occurrence retained.
34847,Customer34847,User34847,Female,2004-10-10,2024-05-22,13,Third-party Delivery,Biryani,customer34847@example.com,3001780507,Duplicate customer_id; first occurrence retained.
17976,Customer17976,User17976,Female,1994-05-17,2024-02-16,8,Takeaway,BBQ,customer17976@example.com,3004892975,Duplicate customer_id; first occurrence retained.
19453,Customer19453,User19453,Female,1993-12-16,2024-04-01,4,Takeaway,Salads,customer19453@example.com,3004133979,Duplicate customer_id; first occurrence retained.
36817,Customer36817,User36817,Male,1981-06-10,2024-08-16,6,Dine-in,Salads,customer36817@example.com,3008196034,Duplicate customer_id; first occurrence retained.
15954,Customer15954,User15954,Female,1996-01-21,2024-01-26,20,Takeaway,Desserts,customer15954@example.com,3006460157,Duplicate customer_id; first occurrence retained.
25435,Customer25435,User25435,Other,2001-01-08,2024-01-09,9,Takeaway,BBQ,customer25435@example.com,3006120647,Duplicate customer_id; first occurrence retained.
44072,Customer44072,User44072,Other,1998-01-19,2024-06-15,16,Dine-in,Rice,customer44072@example.com,3001868603,Duplicate customer_id; first occurrence retained.
6728,Customer6728,User6728,Male,1975-10-15,2024-01-21,7,Dine-in,Desserts,customer6728@example.com,3009812089,Duplicate customer_id; first occurrence retained.
34810,Customer34810,User34810,Other,1978-03-19,2024-05-07,1,Takeaway,Beverages,customer34810@example.com,3007347690,Duplicate customer_id; first occurrence retained.
46282,Customer46282,User46282,Male,1972-10-19,2024-07-25,13,Website/App,Sandwiches,customer46282@example.com,3005743378,Duplicate customer_id; first occurrence retained.
46086,Customer46086,User46086,Other,2003-08-04,2024-05-08,17,Dine-in,Desserts,customer46086@example.com,3003905389,Duplicate customer_id; first occurrence retained.
12957,Customer12957,User12957,Male,1982-12-08,2024-06-15,10,Third-party Delivery,Pasta,,3004492769,Duplicate customer_id; first occurrence retained.
22101,Customer22101,User22101,Male,1973-11-18,2024-05-23,11,Takeaway,Biryani,customer22101@example.com,3002490605,Duplicate customer_id; first occurrence retained.
36739,Customer36739,User36739,Other,1979-03-16,2024-07-22,10,Dine-in,Burgers,customer36739@example.com,3002422812,Duplicate customer_id; first occurrence retained.
35824,Customer35824,User35824,Female,1999-09-04,2024-03-13,12,Dine-in,Pizza,customer35824@example.com,3006862324,Duplicate customer_id; first occurrence retained.
15679,Customer15679,User15679,Male,1977-02-01,2024-02-25,19,Third-party Delivery,Beverages,customer15679@example.com,3005019995,Duplicate customer_id; first occurrence retained.
28706,Customer28706,User28706,Male,1984-03-23,2024-05-27,7,Takeaway,BBQ,customer28706@example.com,3008286152,Duplicate customer_id; first occurrence retained.
35193,Customer35193,User35193,Female,1976-08-12,2024-03-28,12,Takeaway,Rice,customer35193@example.com,3007203988,Duplicate customer_id; first occurrence retained.
6045,Customer6045,User6045,Other,1973-09-17,2024-06-25,17,Dine-in,Beverages,customer6045@example.com,3003054642,Duplicate customer_id; first occurrence retained.
25201,Customer25201,User25201,Female,1994-12-24,2024-11-06,3,Dine-in,BBQ,customer25201@example.com,3001252422,Duplicate customer_id; first occurrence retained.
27207,Customer27207,User27207,Male,1980-06-10,2024-01-05,19,Takeaway,Sandwiches,customer27207@example.com,3006075904,Duplicate customer_id; first occurrence retained.
6846,Customer6846,User6846,Male,2002-09-04,2024-07-20,1,Takeaway,Pasta,customer6846@example.com,3004641570,Duplicate customer_id; first occurrence retained.
9599,Customer9599,User9599,Female,1984-01-27,2024-09-03,13,Takeaway,BBQ,customer9599@example.com,3009401868,Duplicate customer_id; first occurrence retained.
15228,Customer15228,User15228,Other,1985-06-04,2024-09-11,6,Third-party Delivery,Beverages,customer15228@example.com,3008880509,Duplicate customer_id; first occurrence retained.
422,Customer422,User422,Other,1975-05-07,2024-12-24,12,Takeaway,Sandwiches,customer422@example.com,3009599207,Duplicate customer_id; first occurrence retained.
8787,Customer8787,User8787,Female,2001-11-15,2024-03-27,8,Website/App,Pasta,customer8787@example.com,3002409476,Duplicate customer_id; first occurrence retained.
7091,Customer7091,User7091,Other,1973-05-16,2024-11-14,3,Website/App,Pasta,customer7091@example.com,3008056599,Duplicate customer_id; first occurrence retained.
48995,Customer48995,User48995,Male,1971-08-27,2024-12-16,8,Website/App,Beverages,customer48995@example.com,3008922043,Duplicate customer_id; first occurrence retained.
14563,Customer14563,User14563,Female,1993-04-11,2024-10-02,12,Website/App,Burgers,customer14563@example.com,3005624134,Duplicate customer_id; first occurrence retained.
46845,Customer46845,User46845,Female,1983-12-19,2024-04-28,3,Third-party Delivery,BBQ,customer46845@example.com,3006600586,Duplicate customer_id; first occurrence retained.
46490,Customer46490,User46490,Female,2000-01-02,2024-03-15,4,Website/App,Pizza,customer46490@example.com,3009819919,Duplicate customer_id; first occurrence retained.
26981,Customer26981,User26981,Other,1981-11-26,2024-02-19,3,Third-party Delivery,Rice,customer26981@example.com,3007046768,Duplicate customer_id; first occurrence retained.
42814,Customer42814,User42814,Male,1984-08-24,2024-12-26,15,Takeaway,Pizza,customer42814@example.com,3009422213,Duplicate customer_id; first occurrence retained.
16545,Customer16545,User16545,Other,1995-08-04,2024-08-01,4,Takeaway,Sandwiches,customer16545@example.com,3007672592,Duplicate customer_id; first occurrence retained.
37776,Customer37776,User37776,Other,2004-01-13,2024-03-23,19,Website/App,BBQ,customer37776@example.com,3004029225,Duplicate customer_id; first occurrence retained.
30174,Customer30174,User30174,Male,1986-08-16,2024-02-21,17,Website/App,Beverages,customer30174@example.com,3006993872,Duplicate customer_id; first occurrence retained.
7566,Customer7566,User7566,Female,1983-10-15,2024-10-25,2,Dine-in,Pasta,customer7566@example.com,3008697848,Duplicate customer_id; first occurrence retained.
42329,Customer42329,User42329,Female,1984-09-20,2024-05-08,5,Third-party Delivery,Pasta,customer42329@example.com,3007438422,Duplicate customer_id; first occurrence retained.
23201,Customer23201,User23201,Other,1986-02-23,2024-03-16,13,Takeaway,BBQ,customer23201@example.com,3009497680,Duplicate customer_id; first occurrence retained.
18117,Customer18117,User18117,Male,1982-10-18,2024-10-14,11,Takeaway,Biryani,customer18117@example.com,3007891722,Duplicate customer_id; first occurrence retained.
21942,Customer21942,User21942,Female,1995-07-02,2024-04-26,10,Website/App,Salads,customer21942@example.com,3008828417,Duplicate customer_id; first occurrence retained.
37277,Customer37277,User37277,Female,1985-10-04,2024-07-18,12,Takeaway,Desserts,customer37277@example.com,3004433894,Duplicate customer_id; first occurrence retained.
34734,Customer34734,User34734,Other,1998-11-19,2024-07-22,18,Third-party Delivery,Rice,customer34734@example.com,3003708863,Duplicate customer_id; first occurrence retained.
20382,Customer20382,User20382,Male,1992-07-02,2024-07-13,6,Third-party Delivery,Pizza,customer20382@example.com,3007495988,Duplicate customer_id; first occurrence retained.
30235,Customer30235,User30235,Female,1973-05-05,2024-09-12,8,Website/App,Pizza,customer30235@example.com,3001467765,Duplicate customer_id; first occurrence retained.
7016,Customer7016,User7016,Other,1988-09-21,2024-01-25,15,Takeaway,Burgers,customer7016@example.com,3008392752,Duplicate customer_id; first occurrence retained.
46269,Customer46269,User46269,Other,1989-05-05,2024-09-13,14,Third-party Delivery,Sandwiches,customer46269@example.com,3002350599,Duplicate customer_id; first occurrence retained.
13688,Customer13688,User13688,Male,1994-11-08,2024-12-16,17,Takeaway,Burgers,customer13688@example.com,3001671297,Duplicate customer_id; first occurrence retained.
2198,Customer2198,User2198,Other,1993-07-27,2024-07-15,2,Third-party Delivery,Rice,customer2198@example.com,3007610243,Duplicate customer_id; first occurrence retained.
11911,Customer11911,User11911,Female,1982-11-15,2024-03-20,11,Website/App,Pizza,customer11911@example.com,3003775576,Duplicate customer_id; first occurrence retained.
1065,Customer1065,User1065,Female,1989-04-10,2024-12-09,18,Dine-in,Biryani,customer1065@example.com,3004756912,Duplicate customer_id; first occurrence retained.
46821,Customer46821,User46821,Other,1970-04-17,2024-12-26,11,Website/App,BBQ,customer46821@example.com,3004815946,Duplicate customer_id; first occurrence retained.
27613,Customer27613,User27613,Other,1998-03-22,2024-04-06,7,Dine-in,Biryani,customer27613@example.com,3005702036,Duplicate customer_id; first occurrence retained.
14437,Customer14437,User14437,Female,1998-04-28,2024-10-18,12,Takeaway,Sandwiches,customer14437@example.com,3001241223,Duplicate customer_id; first occurrence retained.
48930,Customer48930,User48930,Male,1986-06-13,2024-02-18,16,Dine-in,BBQ,customer48930@example.com,3007785756,Duplicate customer_id; first occurrence retained.
17680,Customer17680,User17680,Female,1995-06-08,2024-08-17,11,Dine-in,Pizza,customer17680@example.com,3006802513,Duplicate customer_id; first occurrence retained.
5757,Customer5757,User5757,Male,1991-01-14,2024-10-22,16,Takeaway,Burgers,customer5757@example.com,3004473685,Duplicate customer_id; first occurrence retained.
48076,Customer48076,User48076,Female,1991-11-24,2024-07-09,2,Dine-in,Desserts,customer48076@example.com,3003322068,Duplicate customer_id; first occurrence retained.
24102,Customer24102,User24102,Male,2003-02-08,2024-11-02,15,Website/App,Sandwiches,customer24102@example.com,3009626871,Duplicate customer_id; first occurrence retained.
44360,Customer44360,User44360,Male,1972-05-12,2024-09-14,7,Website/App,BBQ,customer44360@example.com,3004506841,Duplicate customer_id; first occurrence retained.
18957,Customer18957,User18957,Other,1985-06-14,2024-11-15,11,Third-party Delivery,Salads,customer18957@example.com,3005640435,Duplicate customer_id; first occurrence retained.
22840,Customer22840,User22840,Female,1973-01-17,2024-07-20,6,Dine-in,Burgers,customer22840@example.com,3005795857,Duplicate customer_id; first occurrence retained.
31607,Customer31607,User31607,Other,1989-12-04,2024-12-18,12,Third-party Delivery,Rice,customer31607@example.com,3001597599,Duplicate customer_id; first occurrence retained.
23853,Customer23853,User23853,Male,2004-12-08,2024-08-19,8,Takeaway,Pasta,customer23853@example.com,3005438742,Duplicate customer_id; first occurrence retained.
